epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,994.499,0.43676,0.38096,0.92595,0.78346,0.6568,0.75268,0.52584,1.16018,1.1244,1.65175,0.000992625,0.000992625,0.000992625
43,1018.13,0.41566,0.37245,0.90879,0.75257,0.6749,0.7393,0.51489,1.17197,1.07964,1.64876,0.00098025,0.00098025,0.00098025
44,1041.63,0.41016,0.37363,0.9073,0.75178,0.71683,0.7856,0.54452,1.19349,1.14451,1.69821,0.000967875,0.000967875,0.000967875
45,1065.61,0.40378,0.35967,0.90205,0.82154,0.64013,0.7456,0.51552,1.21873,1.21877,1.73712,0.0009555,0.0009555,0.0009555
46,1089.16,0.38646,0.34707,0.89782,0.78735,0.67919,0.76623,0.52496,1.19338,1.2068,1.67553,0.000943125,0.000943125,0.000943125
47,1113.23,0.39919,0.35661,0.90243,0.76647,0.68639,0.74743,0.52001,1.15187,1.09383,1.66692,0.00093075,0.00093075,0.00093075
48,1136.58,0.39183,0.34364,0.89649,0.73226,0.69231,0.75824,0.52905,1.19855,1.15625,1.71665,0.000918375,0.000918375,0.000918375
49,1159.62,0.36996,0.32022,0.88366,0.75044,0.70118,0.76579,0.53063,1.15639,1.11109,1.65777,0.000906,0.000906,0.000906
50,1182.54,0.36973,0.33099,0.89039,0.78679,0.69876,0.7837,0.55091,1.14502,1.06247,1.67937,0.000893625,0.000893625,0.000893625
51,1205.53,0.36524,0.32925,0.88941,0.81606,0.70879,0.802,0.56625,1.10917,1.04689,1.63326,0.00088125,0.00088125,0.00088125
52,1228.53,0.36052,0.32665,0.88335,0.76658,0.73077,0.78395,0.54689,1.149,1.06239,1.67565,0.000868875,0.000868875,0.000868875
53,1251.67,0.3629,0.32532,0.88168,0.80631,0.7071,0.79586,0.56202,1.14209,1.15837,1.67869,0.0008565,0.0008565,0.0008565
54,1274.52,0.34703,0.30993,0.87984,0.78692,0.71598,0.7783,0.55616,1.12828,1.08709,1.69111,0.000844125,0.000844125,0.000844125
55,1297.78,0.34654,0.30895,0.87761,0.77197,0.67751,0.76019,0.53141,1.14008,1.10656,1.68936,0.00083175,0.00083175,0.00083175
56,1323.81,0.33775,0.29662,0.86949,0.83707,0.71302,0.78573,0.55368,1.13224,1.11343,1.66925,0.000819375,0.000819375,0.000819375
57,1347.57,0.33879,0.30648,0.87065,0.80741,0.69527,0.76999,0.54452,1.13782,1.14935,1.66336,0.000807,0.000807,0.000807
58,1370.46,0.33366,0.29206,0.86943,0.74099,0.70414,0.76722,0.53469,1.1904,1.20418,1.73108,0.000794625,0.000794625,0.000794625
59,1393.33,0.3352,0.30104,0.8712,0.81891,0.65976,0.78214,0.55819,1.10324,1.02055,1.65203,0.00078225,0.00078225,0.00078225
60,1416.2,0.33455,0.28623,0.86956,0.77101,0.67751,0.7459,0.5216,1.17837,1.13893,1.72212,0.000769875,0.000769875,0.000769875
61,1439.04,0.33015,0.29028,0.86654,0.78884,0.71006,0.77369,0.5567,1.14314,1.15558,1.67228,0.0007575,0.0007575,0.0007575
62,1461.86,0.32506,0.28552,0.86555,0.79139,0.69588,0.77137,0.55057,1.16268,1.15006,1.67379,0.000745125,0.000745125,0.000745125
63,1484.69,0.31868,0.28845,0.86418,0.79498,0.68832,0.76242,0.52842,1.16203,1.13755,1.67327,0.00073275,0.00073275,0.00073275
64,1507.51,0.30865,0.28145,0.85625,0.77196,0.68047,0.76213,0.53691,1.15493,1.15544,1.68698,0.000720375,0.000720375,0.000720375
65,1530.35,0.31355,0.28547,0.86345,0.80608,0.65976,0.76047,0.53656,1.10643,1.24496,1.63279,0.000708,0.000708,0.000708
66,1553.2,0.30296,0.27599,0.8589,0.7574,0.6716,0.76724,0.55641,1.1005,1.23922,1.62359,0.000695625,0.000695625,0.000695625
67,1576.07,0.28284,0.24881,0.83544,0.75176,0.65405,0.76189,0.54348,1.11757,1.22765,1.6707,0.00068325,0.00068325,0.00068325
68,1599.25,0.29676,0.26104,0.8484,0.78736,0.67751,0.76788,0.55428,1.14072,1.20362,1.69773,0.000670875,0.000670875,0.000670875
